shapeid,xp,yp,Traffic,Train,Industrial
383.0,1335,481,66,0,0
383.0,1337,474,66,0,0
384.0,1335,481,66,0,0
384.0,1327,473,66,0,0
385.0,1373,449,69,0,0
385.0,1375,450,69,0,0
385.0,1377,451,69,0,0
385.0,1378,452,69,0,0
386.0,1368,450,69,0,0
386.0,1371,449,69,0,0
386.0,1373,449,69,0,0
387.0,1378,452,69,0,0
387.0,1380,452,69,0,0
387.0,1381,453,69,0,0
388.0,1362,458,65,0,0
388.0,1365,457,65,0,0
388.0,1370,456,65,0,0
388.0,1372,456,65,0,0
388.0,1373,455,65,0,0
388.0,1375,454,65,0,0
388.0,1378,452,65,0,0
389.0,1362,458,60,0,0
389.0,1364,456,60,0,0
389.0,1366,454,60,0,0
389.0,1367,452,60,0,0
389.0,1368,451,60,0,0
389.0,1368,451,60,0,0
389.0,1368,450,60,0,0
390.0,1352,459,65,0,0
390.0,1355,459,65,0,0
390.0,1360,458,65,0,0
390.0,1362,458,65,0,0
391.0,1354,451,69,0,0
391.0,1357,451,69,0,0
391.0,1362,450,69,0,0
391.0,1368,450,69,0,0
392.0,1314,477,78,0,0
392.0,1317,475,78,0,0
392.0,1319,474,78,0,0
